Detector,Time,qPKW,vPKW
3841,0,143,40.0
3841,15,120,40.0
3841,30,87,40.0
3841,45,93,40.0
3841,60,58,40.0
3841,75,118,40.0
3841,90,52,40.0
3841,105,46,40.0
3841,120,77,40.0
3841,135,91,40.0
3841,150,86,40.0
3841,165,7,40.0
3841,180,10,40.0
3841,195,14,40.0
3841,210,8,40.0
3841,225,5,40.0
3841,240,5,40.0
3841,255,27,40.0
3841,270,12,40.0
3841,285,36,40.0
3841,300,8,40.0
3841,315,17,40.0
3841,330,20,40.0
3841,345,65,40.0
3841,360,27,40.0
3841,375,90,40.0
3841,390,65,40.0
3841,405,60,40.0
3841,420,97,40.0
3841,435,108,40.0
3841,450,128,40.0
3841,465,160,40.0
3841,480,214,40.0
3841,495,197,40.0
3841,510,239,40.0
3841,525,259,40.0
3841,540,356,40.0
3841,555,262,40.0
3841,570,323,40.0
3841,585,357,40.0
3841,600,356,40.0
3841,615,453,40.0
3841,630,450,40.0
3841,645,521,40.0
3841,660,533,40.0
3841,675,603,40.0
3841,690,555,40.0
3841,705,538,40.0
3841,720,610,40.0
3841,735,554,40.0
3841,750,656,40.0
3841,765,570,40.0
3841,780,354,40.0
3841,795,627,40.0
3841,810,635,40.0
3841,825,586,40.0
3841,840,590,40.0
3841,855,691,40.0
3841,870,578,40.0
3841,885,518,40.0
3841,900,505,40.0
3841,915,490,40.0
3841,930,396,40.0
3841,945,314,40.0
3841,960,365,40.0
3841,975,499,40.0
3841,990,537,40.0
3841,1005,447,40.0
3841,1020,496,40.0
3841,1035,549,40.0
3841,1050,430,40.0
3841,1065,353,40.0
3841,1230,40,40.0
3841,1245,40,40.0
3841,1260,40,40.0
3841,1290,605,40.0
3841,1305,357,40.0
3841,1320,299,40.0
3841,1335,205,40.0
3841,1350,219,40.0
3841,1365,147,40.0
3841,1380,142,40.0
3841,1395,153,40.0
3841,1410,155,40.0
3841,1425,165,40.0
3932,0,500,40.0
3932,15,516,40.0
3932,30,479,40.0
3932,45,340,40.0
3932,60,365,40.0
3932,75,453,40.0
3932,90,347,40.0
3932,105,326,40.0
3932,120,251,40.0
3932,135,180,40.0
3932,150,176,40.0
3932,165,175,40.0
3932,180,119,40.0
3932,195,100,40.0
3932,210,113,40.0
3932,225,94,40.0
3932,240,112,40.0
3932,255,85,40.0
3932,270,103,40.0
3932,285,96,40.0
3932,300,112,40.0
3932,315,84,40.0
3932,330,138,40.0
3932,345,168,40.0
3932,360,202,40.0
3932,375,235,40.0
3932,390,314,40.0
3932,405,356,40.0
3932,420,459,40.0
3932,435,539,40.0
3932,450,450,40.0
3932,465,638,40.0
3932,480,786,40.0
3932,495,771,40.0
3932,510,1036,40.0
3932,525,1007,40.0
3932,540,1284,40.0
3932,555,1246,40.0
3932,570,1221,40.0
3932,585,1389,40.0
3932,600,1621,40.0
3932,615,1661,40.0
3932,630,1931,40.0
3932,645,1832,40.0
3932,660,2050,40.0
3932,675,1946,40.0
3932,690,2027,40.0
3932,705,2043,40.0
3932,720,2096,40.0
3932,735,2080,40.0
3932,750,2131,40.0
3932,765,1846,40.0
3932,780,1993,40.0
3932,795,1704,40.0
3932,810,2021,40.0
3932,825,1918,40.0
3932,840,2127,40.0
3932,855,2160,40.0
3932,870,2165,40.0
3932,885,2089,40.0
3932,900,2087,40.0
3932,915,1870,40.0
3932,930,1870,40.0
3932,945,1704,40.0
3932,960,1767,40.0
3932,975,1822,40.0
3932,990,1901,40.0
3932,1005,1757,40.0
3932,1020,1727,40.0
3932,1035,1660,40.0
3932,1050,1497,40.0
3932,1065,1494,40.0
3932,1080,1598,40.0
3932,1095,1566,40.0
3932,1110,1572,40.0
3932,1125,1761,40.0
3932,1140,1701,40.0
3932,1155,1610,40.0
3932,1170,1408,40.0
3932,1185,1443,40.0
3932,1200,1593,40.0
3932,1215,1899,40.0
3932,1230,1001,40.0
3932,1245,1727,40.0
3932,1260,1713,40.0
3932,1275,1860,40.0
3932,1290,1968,40.0
3932,1305,1533,40.0
3932,1320,1426,40.0
3932,1335,1339,40.0
3932,1350,1170,40.0
3932,1365,820,40.0
3932,1380,747,40.0
3932,1395,664,40.0
3932,1410,654,40.0
3932,1425,713,40.0
3944,0,377,40.0
3944,15,295,40.0
3944,30,421,40.0
3944,45,241,40.0
3944,60,255,40.0
3944,75,385,40.0
3944,90,265,40.0
3944,105,266,40.0
3944,120,216,40.0
3944,135,154,40.0
3944,150,202,40.0
3944,165,124,40.0
3944,180,92,40.0
3944,195,75,40.0
3944,210,65,40.0
3944,225,60,40.0
3944,240,73,40.0
3944,255,81,40.0
3944,270,62,40.0
3944,285,103,40.0
3944,300,68,40.0
3944,315,60,40.0
3944,330,116,40.0
3944,345,131,40.0
3944,360,169,40.0
3944,375,207,40.0
3944,390,230,40.0
3944,405,273,40.0
3944,420,398,40.0
3944,435,454,40.0
3944,450,449,40.0
3944,465,672,40.0
3944,480,873,40.0
3944,495,756,40.0
3944,510,1039,40.0
3944,525,1047,40.0
3944,540,1279,40.0
3944,555,1247,40.0
3944,570,1201,40.0
3944,585,1392,40.0
3944,600,1539,40.0
3944,615,1624,40.0
3944,630,1838,40.0
3944,645,1799,40.0
3944,660,1971,40.0
3944,675,1955,40.0
3944,690,2033,40.0
3944,705,1973,40.0
3944,720,2035,40.0
3944,735,2028,40.0
3944,750,2161,40.0
3944,765,2008,40.0
3944,780,1636,40.0
3944,795,1621,40.0
3944,810,1854,40.0
3944,825,1853,40.0
3944,840,2034,40.0
3944,855,2010,40.0
3944,870,1973,40.0
3944,885,1948,40.0
3944,900,1741,40.0
3944,915,1621,40.0
3944,930,1644,40.0
3944,945,1455,40.0
3944,960,1434,40.0
3944,975,1465,40.0
3944,990,1273,40.0
3944,1005,1178,40.0
3944,1020,1225,40.0
3944,1035,1249,40.0
3944,1050,1228,40.0
3944,1065,1122,40.0
3944,1080,1159,40.0
3944,1095,1059,40.0
3944,1110,1267,40.0
3944,1125,1306,40.0
3944,1140,1260,40.0
3944,1155,1202,40.0
3944,1170,1050,40.0
3944,1185,1179,40.0
3944,1200,1109,40.0
3944,1215,1500,40.0
3944,1230,1286,40.0
3944,1245,1223,40.0
3944,1260,1267,40.0
3944,1275,1482,40.0
3944,1290,1357,40.0
3944,1305,1188,40.0
3944,1320,1144,40.0
3944,1335,966,40.0
3944,1350,871,40.0
3944,1365,595,40.0
3944,1380,490,40.0
3944,1395,467,40.0
3944,1410,389,40.0
3944,1425,450,40.0
3945,0,62,40.0
3945,15,45,40.0
3945,30,68,40.0
3945,45,87,40.0
3945,60,68,40.0
3945,75,43,40.0
3945,90,35,40.0
3945,105,36,40.0
3945,120,30,40.0
3945,135,14,40.0
3945,150,12,40.0
3945,165,14,40.0
3945,180,26,40.0
3945,195,6,40.0
3945,210,4,40.0
3945,225,0,40.0
3945,240,6,40.0
3945,255,22,40.0
3945,270,8,40.0
3945,285,5,40.0
3945,300,0,40.0
3945,315,0,40.0
3945,330,9,40.0
3945,345,16,40.0
3945,360,13,40.0
3945,375,20,40.0
3945,390,40,40.0
3945,405,44,40.0
3945,420,59,40.0
3945,435,60,40.0
3945,450,54,40.0
3945,465,54,40.0
3945,480,120,40.0
3945,495,155,40.0
3945,510,163,40.0
3945,525,204,40.0
3945,540,158,40.0
3945,555,183,40.0
3945,570,209,40.0
3945,585,184,40.0
3945,600,232,40.0
3945,615,235,40.0
3945,630,291,40.0
3945,645,264,40.0
3945,660,262,40.0
3945,675,328,40.0
3945,690,309,40.0
3945,705,287,40.0
3945,720,287,40.0
3945,735,301,40.0
3945,750,297,40.0
3945,765,228,40.0
3945,780,301,40.0
3945,795,285,40.0
3945,810,337,40.0
3945,825,277,40.0
3945,840,339,40.0
3945,855,301,40.0
3945,870,295,40.0
3945,885,323,40.0
3945,900,241,40.0
3945,915,225,40.0
3945,930,213,40.0
3945,945,192,40.0
3945,960,60,40.0
3945,975,20,40.0
3945,1035,20,40.0
3945,1065,16,40.0
3945,1080,28,40.0
3945,1095,40,40.0
3945,1110,15,40.0
3945,1140,20,40.0
3945,1155,20,40.0
3945,1185,26,40.0
3945,1200,30,40.0
3945,1230,36,40.0
3945,1245,20,40.0
3945,1260,20,40.0
3945,1290,165,40.0
3945,1305,171,40.0
3945,1320,122,40.0
3945,1335,142,40.0
3945,1350,65,40.0
3945,1365,85,40.0
3945,1380,72,40.0
3945,1395,41,40.0
3945,1410,75,40.0
3945,1425,92,40.0
3964,0,708,40.0
3964,15,552,40.0
3964,30,529,40.0
3964,45,451,40.0
3964,60,382,40.0
3964,75,320,40.0
3964,90,247,40.0
3964,105,254,40.0
3964,120,189,40.0
3964,135,228,40.0
3964,150,119,40.0
3964,165,110,40.0
3964,180,97,40.0
3964,195,106,40.0
3964,210,71,40.0
3964,225,106,40.0
3964,240,85,40.0
3964,255,91,40.0
3964,270,87,40.0
3964,285,63,40.0
3964,300,66,40.0
3964,315,45,40.0
3964,330,112,40.0
3964,345,113,40.0
3964,360,127,40.0
3964,375,220,40.0
3964,390,245,40.0
3964,405,336,40.0
3964,420,478,40.0
3964,435,499,40.0
3964,450,705,40.0
3964,465,726,40.0
3964,480,781,40.0
3964,495,820,40.0
3964,510,1012,40.0
3964,525,876,40.0
3964,540,1109,40.0
3964,555,1378,40.0
3964,570,1275,40.0
3964,585,1439,40.0
3964,600,1324,40.0
3964,615,1476,40.0
3964,630,1463,40.0
3964,645,1599,40.0
3964,660,1723,40.0
3964,675,1725,40.0
3964,690,1756,40.0
3964,705,1850,40.0
3964,720,2025,40.0
3964,735,2077,40.0
3964,750,1813,40.0
3964,765,1995,40.0
3964,780,1883,40.0
3964,795,2235,40.0
3964,810,2213,40.0
3964,825,2298,40.0
3964,840,2277,40.0
3964,855,2346,40.0
3964,870,2333,40.0
3964,885,2153,40.0
3964,900,2126,40.0
3964,915,2035,40.0
3964,930,1777,40.0
3964,945,1706,40.0
3964,960,1814,40.0
3964,975,1648,40.0
3964,990,1931,40.0
3964,1005,1622,40.0
3964,1020,672,40.0
3964,1035,953,40.0
3964,1050,671,40.0
3964,1065,483,40.0
3964,1080,626,40.0
3964,1095,710,40.0
3964,1110,768,40.0
3964,1125,861,40.0
3964,1140,897,40.0
3964,1155,1220,40.0
3964,1170,1317,40.0
3964,1185,1481,40.0
3964,1200,1538,40.0
3964,1215,1559,40.0
3964,1230,1454,40.0
3964,1245,949,40.0
3964,1260,1075,40.0
3964,1275,1140,40.0
3964,1290,1393,40.0
3964,1305,1110,40.0
3964,1320,1107,40.0
3964,1335,1021,40.0
3964,1350,923,40.0
3964,1365,870,40.0
3964,1380,856,40.0
3964,1395,833,40.0
3964,1410,804,40.0
3964,1425,825,40.0
3979,0,76,40.0
3979,15,77,40.0
3979,30,53,40.0
3979,45,45,40.0
3979,60,59,40.0
3979,75,52,40.0
3979,90,33,40.0
3979,105,17,40.0
3979,120,36,40.0
3979,135,23,40.0
3979,150,12,40.0
3979,165,7,40.0
3979,180,14,40.0
3979,195,7,40.0
3979,210,5,40.0
3979,225,16,40.0
3979,240,11,40.0
3979,255,28,40.0
3979,270,5,40.0
3979,285,21,40.0
3979,300,15,40.0
3979,315,13,40.0
3979,330,16,40.0
3979,345,27,40.0
3979,360,7,40.0
3979,375,37,40.0
3979,390,29,40.0
3979,405,70,40.0
3979,420,65,40.0
3979,435,78,40.0
3979,450,64,40.0
3979,465,87,40.0
3979,480,136,40.0
3979,495,104,40.0
3979,510,132,40.0
3979,525,119,40.0
3979,540,175,40.0
3979,555,177,40.0
3979,570,213,40.0
3979,585,239,40.0
3979,600,217,40.0
3979,615,293,40.0
3979,630,370,40.0
3979,645,381,40.0
3979,660,381,40.0
3979,675,357,40.0
3979,690,350,40.0
3979,705,455,40.0
3979,720,448,40.0
3979,735,387,40.0
3979,750,352,40.0
3979,765,378,40.0
3979,780,381,40.0
3979,795,386,40.0
3979,810,385,40.0
3979,825,395,40.0
3979,840,432,40.0
3979,855,441,40.0
3979,870,366,40.0
3979,885,365,40.0
3979,900,376,40.0
3979,915,326,40.0
3979,930,284,40.0
3979,945,251,40.0
3979,960,278,40.0
3979,975,355,40.0
3979,990,425,40.0
3979,1005,424,40.0
3979,1020,431,40.0
3979,1035,420,40.0
3979,1050,472,40.0
3979,1065,395,40.0
3979,1080,280,40.0
3979,1095,271,40.0
3979,1110,229,40.0
3979,1125,338,40.0
3979,1140,288,40.0
3979,1155,327,40.0
3979,1170,250,40.0
3979,1185,293,40.0
3979,1200,318,40.0
3979,1215,246,40.0
3979,1230,293,40.0
3979,1245,293,40.0
3979,1260,337,40.0
3979,1275,296,40.0
3979,1290,374,40.0
3979,1305,232,40.0
3979,1320,191,40.0
3979,1335,165,40.0
3979,1350,143,40.0
3979,1365,104,40.0
3979,1380,133,40.0
3979,1395,155,40.0
3979,1410,135,40.0
3979,1425,101,40.0
3980,0,20,40.0
3980,15,25,40.0
3980,30,16,40.0
3980,45,12,40.0
3980,60,23,40.0
3980,75,13,40.0
3980,90,13,40.0
3980,105,12,40.0
3980,120,7,40.0
3980,135,9,40.0
3980,150,16,40.0
3980,165,5,40.0
3980,180,5,40.0
3980,195,5,40.0
3980,210,4,40.0
3980,225,5,40.0
3980,240,5,40.0
3980,255,1,40.0
3980,270,4,40.0
3980,285,0,40.0
3980,300,11,40.0
3980,315,9,40.0
3980,330,5,40.0
3980,345,5,40.0
3980,360,4,40.0
3980,375,30,40.0
3980,390,20,40.0
3980,405,20,40.0
3980,420,20,40.0
3980,435,40,40.0
3980,450,34,40.0
3980,465,51,40.0
3980,480,34,40.0
3980,495,33,40.0
3980,510,68,40.0
3980,525,65,40.0
3980,540,111,40.0
3980,555,103,40.0
3980,570,139,40.0
3980,585,119,40.0
3980,600,168,40.0
3980,615,140,40.0
3980,630,175,40.0
3980,645,157,40.0
3980,660,211,40.0
3980,675,209,40.0
3980,690,232,40.0
3980,705,249,40.0
3980,720,246,40.0
3980,735,273,40.0
3980,750,255,40.0
3980,765,334,40.0
3980,780,428,40.0
3980,795,423,40.0
3980,810,345,40.0
3980,825,425,40.0
3980,840,368,40.0
3980,855,234,40.0
3980,870,315,40.0
3980,885,232,40.0
3980,900,207,40.0
3980,915,180,40.0
3980,930,187,40.0
3980,945,149,40.0
3980,960,189,40.0
3980,975,143,40.0
3980,990,137,40.0
3980,1005,197,40.0
3980,1020,175,40.0
3980,1035,200,40.0
3980,1050,250,40.0
3980,1065,272,40.0
3980,1080,267,40.0
3980,1095,202,40.0
3980,1110,244,40.0
3980,1125,281,40.0
3980,1140,183,40.0
3980,1155,211,40.0
3980,1170,167,40.0
3980,1185,166,40.0
3980,1200,137,40.0
3980,1215,246,40.0
3980,1230,242,40.0
3980,1245,296,40.0
3980,1260,248,40.0
3980,1275,247,40.0
3980,1290,176,40.0
3980,1305,54,40.0
3980,1320,40,40.0
3980,1335,41,40.0
3980,1350,37,40.0
3980,1365,32,40.0
3980,1380,60,40.0
3980,1395,28,40.0
3980,1410,40,40.0
3980,1425,33,40.0
9890,0,757,40.0
9890,15,640,40.0
9890,30,561,40.0
9890,45,519,40.0
9890,60,421,40.0
9890,75,303,40.0
9890,90,282,40.0
9890,105,289,40.0
9890,120,222,40.0
9890,135,174,40.0
9890,150,121,40.0
9890,165,117,40.0
9890,180,125,40.0
9890,195,110,40.0
9890,210,95,40.0
9890,225,92,40.0
9890,240,101,40.0
9890,255,105,40.0
9890,270,102,40.0
9890,285,90,40.0
9890,300,80,40.0
9890,315,64,40.0
9890,330,159,40.0
9890,345,147,40.0
9890,360,206,40.0
9890,375,237,40.0
9890,390,377,40.0
9890,405,497,40.0
9890,420,646,40.0
9890,435,618,40.0
9890,450,919,40.0
9890,465,909,40.0
9890,480,1067,40.0
9890,495,1003,40.0
9890,510,1180,40.0
9890,525,1214,40.0
9890,540,1550,40.0
9890,555,1591,40.0
9890,570,1600,40.0
9890,585,1726,40.0
9890,600,1788,40.0
9890,615,1765,40.0
9890,630,1787,40.0
9890,645,1843,40.0
9890,660,2045,40.0
9890,675,2014,40.0
9890,690,1923,40.0
9890,705,2122,40.0
9890,720,2189,40.0
9890,735,2184,40.0
9890,750,2168,40.0
9890,765,2215,40.0
9890,780,2260,40.0
9890,795,2242,40.0
9890,810,2312,40.0
9890,825,2305,40.0
9890,840,2275,40.0
9890,855,2395,40.0
9890,870,2414,40.0
9890,885,2387,40.0
9890,900,2389,40.0
9890,915,2271,40.0
9890,930,2007,40.0
9890,945,1890,40.0
9890,960,2065,40.0
9890,975,2126,40.0
9890,990,2502,40.0
9890,1005,2413,40.0
9890,1020,2403,40.0
9890,1035,2082,40.0
9890,1050,2190,40.0
9890,1065,1798,40.0
9890,1080,1604,40.0
9890,1095,1665,40.0
9890,1110,1792,40.0
9890,1125,1699,40.0
9890,1140,1855,40.0
9890,1155,1969,40.0
9890,1170,2037,40.0
9890,1185,2012,40.0
9890,1200,2106,40.0
9890,1215,2077,40.0
9890,1230,2130,40.0
9890,1245,2321,40.0
9890,1260,2096,40.0
9890,1275,2270,40.0
9890,1290,1912,40.0
9890,1305,1500,40.0
9890,1320,1345,40.0
9890,1335,1242,40.0
9890,1350,1016,40.0
9890,1365,1071,40.0
9890,1380,1038,40.0
9890,1395,944,40.0
9890,1410,912,40.0
9890,1425,924,40.0
